ElectricityUsage,SystemSize,SystemType,SolarPanel,Inverter,Battery ,NoOfBatteries ,InvetrerCost,NoOfInveters ,NoOfPanels,Tags,SolarSystem
3601-4800,40kW,Hybrid,Canadian Solar Canada,Goodwee China,LFP Lithium-ion,4,930000,4,40,3601-4800 Hybrid Canadian Solar Canada Goodwee China LFP Lithium-ion,40kW Hybrid | 40 solar panel- Canadian Solar Canada | 4 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 9440000
4801-6000,50kW,Hybrid,Canadian Solar Canada,Goodwee China,LFP Lithium-ion,5,930000,5,50,4801-6000 Hybrid Canadian Solar Canada Goodwee China LFP Lithium-ion,50kW Hybrid | 50 solar panel- Canadian Solar Canada | 5 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 11800000
6001-7200,60kW,Hybrid,Canadian Solar Canada,Goodwee China,LFP Lithium-ion,6,930000,6,60,6001-7200 Hybrid Canadian Solar Canada Goodwee China LFP Lithium-ion,60kW Hybrid | 60 solar panel- Canadian Solar Canada | 6 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 14160000
0-120,1kW,Hybrid,Canadian Solar Canada,SMA Germany ,LFP Lithium-ion,1,141000,1,1,0-120 Hybrid Canadian Solar Canada SMA Germany  LFP Lithium-ion,1kW Hybrid | 1 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 275000
121-240,2kW,Hybrid,Canadian Solar Canada,SMA Germany ,LFP Lithium-ion,1,210000,1,2,121-240 Hybrid Canadian Solar Canada SMA Germany  LFP Lithium-ion,2kW Hybrid | 2 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 488000
241-420,3.5kW,Hybrid,Canadian Solar Canada,SMA Germany ,LFP Lithium-ion,1,390000,1,4,241-420 Hybrid Canadian Solar Canada SMA Germany  LFP Lithium-ion,3.5kW Hybrid | 4 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 856000
421-480,4kW,Hybrid,Canadian Solar Canada,SMA Germany ,LFP Lithium-ion,1,555000,1,4,421-480 Hybrid Canadian Solar Canada SMA Germany  LFP Lithium-ion,4kW Hybrid | 4 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 1181000
481-600,5kW,Hybrid,Canadian Solar Canada,SMA Germany ,LFP Lithium-ion,1,735000,1,5,481-600 Hybrid Canadian Solar Canada SMA Germany  LFP Lithium-ion,5kW Hybrid | 5 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 1415000
601-900,7.5kW,Hybrid,Canadian Solar Canada,SMA Germany ,LFP Lithium-ion,1,870000,1,7,601-900 Hybrid Canadian Solar Canada SMA Germany  LFP Lithium-ion,7.5kW Hybrid | 7 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 2138000
901-960,8kW,Hybrid,Canadian Solar Canada,SMA Germany ,LFP Lithium-ion,1,975000,1,8,901-960 Hybrid Canadian Solar Canada SMA Germany  LFP Lithium-ion,8kW Hybrid | 8 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 2297000
961-1200,10kW,Hybrid,Canadian Solar Canada,SMA Germany ,LFP Lithium-ion,1,1170000,1,10,961-1200 Hybrid Canadian Solar Canada SMA Germany  LFP Lithium-ion,10kW Hybrid | 10 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 2600000
1201-1800,15kW,Hybrid,Canadian Solar Canada,SMA Germany ,LFP Lithium-ion,2,870000,2,15,1201-1800 Hybrid Canadian Solar Canada SMA Germany  LFP Lithium-ion,15kW Hybrid | 15 solar panel- Canadian Solar Canada | 2 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 4330000
1801-2400,20kW,Hybrid,Canadian Solar Canada,SMA Germany ,LFP Lithium-ion,2,1170000,2,20,1801-2400 Hybrid Canadian Solar Canada SMA Germany  LFP Lithium-ion,20kW Hybrid | 20 solar panel- Canadian Solar Canada | 2 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 5200000
2401-3600,30kW,Hybrid,Canadian Solar Canada,SMA Germany ,LFP Lithium-ion,3,1170000,3,30,2401-3600 Hybrid Canadian Solar Canada SMA Germany  LFP Lithium-ion,30kW Hybrid | 30 solar panel- Canadian Solar Canada | 3 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 7800000
3601-4800,40kW,Hybrid,Canadian Solar Canada,SMA Germany ,LFP Lithium-ion,4,1170000,4,40,3601-4800 Hybrid Canadian Solar Canada SMA Germany  LFP Lithium-ion,40kW Hybrid | 40 solar panel- Canadian Solar Canada | 4 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 10400000
4801-6000,50kW,Hybrid,Canadian Solar Canada,SMA Germany ,LFP Lithium-ion,5,1170000,5,50,4801-6000 Hybrid Canadian Solar Canada SMA Germany  LFP Lithium-ion,50kW Hybrid | 50 solar panel- Canadian Solar Canada | 5 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 13000000
6001-7200,60kW,Hybrid,Canadian Solar Canada,SMA Germany ,LFP Lithium-ion,6,1170000,6,60,6001-7200 Hybrid Canadian Solar Canada SMA Germany  LFP Lithium-ion,60kW Hybrid | 60 solar panel- Canadian Solar Canada | 6 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 15600000
0-120,1kW,Hybrid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,1,136500,1,1,0-120 Hybrid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,1kW Hybrid | 1 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 270500
121-240,2kW,Hybrid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,1,195000,1,2,121-240 Hybrid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,2kW Hybrid | 2 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 473000
241-420,3.5kW,Hybrid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,1,330000,1,4,241-420 Hybrid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,3.5kW Hybrid | 4 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 796000
421-480,4kW,Hybrid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,1,465000,1,4,421-480 Hybrid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,4kW Hybrid | 4 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 1091000
481-600,5kW,Hybrid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,1,615000,1,5,481-600 Hybrid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,5kW Hybrid | 5 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 1295000
601-900,7.5kW,Hybrid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,1,810000,1,7,601-900 Hybrid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,7.5kW Hybrid | 7 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 2078000
901-960,8kW,Hybrid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,1,960000,1,8,901-960 Hybrid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,8kW Hybrid | 8 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 2282000
961-1200,10kW,Hybrid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,1,1140000,1,10,961-1200 Hybrid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,10kW Hybrid | 10 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 2570000
1201-1800,15kW,Hybrid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,2,810000,2,15,1201-1800 Hybrid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,15kW Hybrid | 15 solar panel- Canadian Solar Canada | 2 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 4210000
1801-2400,20kW,Hybrid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,2,1140000,2,20,1801-2400 Hybrid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,20kW Hybrid | 20 solar panel- Canadian Solar Canada | 2 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 5140000
2401-3600,30kW,Hybrid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,3,1140000,3,30,2401-3600 Hybrid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,30kW Hybrid | 30 solar panel- Canadian Solar Canada | 3 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 7710000
3601-4800,40kW,Hybrid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,4,1140000,4,40,3601-4800 Hybrid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,40kW Hybrid | 40 solar panel- Canadian Solar Canada | 4 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 10280000
4801-6000,50kW,Hybrid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,5,1140000,5,50,4801-6000 Hybrid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,50kW Hybrid | 50 solar panel- Canadian Solar Canada | 5 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 12850000
6001-7200,60kW,Hybrid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,6,1140000,6,60,6001-7200 Hybrid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,60kW Hybrid | 60 solar panel- Canadian Solar Canada | 6 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 15420000
0-120,1kW,Hybrid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,1,109500,1,1,0-120 Hybrid Canadian Solar Canada Growatt China LFP Lithium-ion,1kW Hybrid | 1 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 243500
121-240,2kW,Hybrid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,1,157500,1,2,121-240 Hybrid Canadian Solar Canada Growatt China LFP Lithium-ion,2kW Hybrid | 2 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 435500
241-420,3.5kW,Hybrid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,1,324000,1,4,241-420 Hybrid Canadian Solar Canada Growatt China LFP Lithium-ion,3.5kW Hybrid | 4 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 790000
421-480,4kW,Hybrid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,1,510000,1,4,421-480 Hybrid Canadian Solar Canada Growatt China LFP Lithium-ion,4kW Hybrid | 4 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 1136000
481-600,5kW,Hybrid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,1,630000,1,5,481-600 Hybrid Canadian Solar Canada Growatt China LFP Lithium-ion,5kW Hybrid | 5 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 1310000
601-900,7.5kW,Hybrid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,1,810000,1,7,601-900 Hybrid Canadian Solar Canada Growatt China LFP Lithium-ion,7.5kW Hybrid | 7 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 2078000
901-960,8kW,Hybrid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,1,870000,1,8,901-960 Hybrid Canadian Solar Canada Growatt China LFP Lithium-ion,8kW Hybrid | 8 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 2192000
961-1200,10kW,Hybrid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,1,945000,1,10,961-1200 Hybrid Canadian Solar Canada Growatt China LFP Lithium-ion,10kW Hybrid | 10 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 2375000
1201-1800,15kW,Hybrid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,2,870000,2,15,1201-1800 Hybrid Canadian Solar Canada Growatt China LFP Lithium-ion,15kW Hybrid | 15 solar panel- Canadian Solar Canada | 2 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 4330000
1801-2400,20kW,Hybrid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,2,945000,2,20,1801-2400 Hybrid Canadian Solar Canada Growatt China LFP Lithium-ion,20kW Hybrid | 20 solar panel- Canadian Solar Canada | 2 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 4750000
2401-3600,30kW,Hybrid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,3,945000,3,30,2401-3600 Hybrid Canadian Solar Canada Growatt China LFP Lithium-ion,30kW Hybrid | 30 solar panel- Canadian Solar Canada | 3 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 7125000
3601-4800,40kW,Hybrid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,4,945000,4,40,3601-4800 Hybrid Canadian Solar Canada Growatt China LFP Lithium-ion,40kW Hybrid | 40 solar panel- Canadian Solar Canada | 4 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 9500000
4801-6000,50kW,Hybrid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,5,945000,5,50,4801-6000 Hybrid Canadian Solar Canada Growatt China LFP Lithium-ion,50kW Hybrid | 50 solar panel- Canadian Solar Canada | 5 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 11875000
6001-7200,60kW,Hybrid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,6,945000,6,60,6001-7200 Hybrid Canadian Solar Canada Growatt China LFP Lithium-ion,60kW Hybrid | 60 solar panel- Canadian Solar Canada | 6 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 14250000
0-120,1kW,Hybrid,Panasonic Japan,Goodwee China,LFP Lithium-ion,1,111000,1,1,0-120 Hybrid Panasonic Japan Goodwee China LFP Lithium-ion,1kW Hybrid | 1 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 253000
121-240,2kW,Hybrid,Panasonic Japan,Goodwee China,LFP Lithium-ion,1,165000,1,2,121-240 Hybrid Panasonic Japan Goodwee China LFP Lithium-ion,2kW Hybrid | 2 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 459000
241-420,3.5kW,Hybrid,Panasonic Japan,Goodwee China,LFP Lithium-ion,1,315000,1,4,241-420 Hybrid Panasonic Japan Goodwee China LFP Lithium-ion,3.5kW Hybrid | 4 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 813000
421-480,4kW,Hybrid,Panasonic Japan,Goodwee China,LFP Lithium-ion,1,450000,1,4,421-480 Hybrid Panasonic Japan Goodwee China LFP Lithium-ion,4kW Hybrid | 4 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 1108000
481-600,5kW,Hybrid,Panasonic Japan,Goodwee China,LFP Lithium-ion,1,615000,1,5,481-600 Hybrid Panasonic Japan Goodwee China LFP Lithium-ion,5kW Hybrid | 5 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 1335000
601-900,7.5kW,Hybrid,Panasonic Japan,Goodwee China,LFP Lithium-ion,1,780000,1,7,601-900 Hybrid Panasonic Japan Goodwee China LFP Lithium-ion,7.5kW Hybrid | 7 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 2104000
901-960,8kW,Hybrid,Panasonic Japan,Goodwee China,LFP Lithium-ion,1,840000,1,8,901-960 Hybrid Panasonic Japan Goodwee China LFP Lithium-ion,8kW Hybrid | 8 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 2226000
961-1200,10kW,Hybrid,Panasonic Japan,Goodwee China,LFP Lithium-ion,1,930000,1,10,961-1200 Hybrid Panasonic Japan Goodwee China LFP Lithium-ion,10kW Hybrid | 10 solar panel- Panasonic Japan | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 2440000
1201-1800,15kW,Hybrid,Panasonic Japan,Goodwee China,LFP Lithium-ion,2,780000,2,15,1201-1800 Hybrid Panasonic Japan Goodwee China LFP Lithium-ion,15kW Hybrid | 15 solar panel- Panasonic Japan | 2 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 4270000
1801-2400,20kW,Hybrid,Panasonic Japan,Goodwee China,LFP Lithium-ion,2,930000,2,20,1801-2400 Hybrid Panasonic Japan Goodwee China LFP Lithium-ion,20kW Hybrid | 20 solar panel- Panasonic Japan | 2 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 4880000
2401-3600,30kW,Hybrid,Panasonic Japan,Goodwee China,LFP Lithium-ion,3,930000,3,30,2401-3600 Hybrid Panasonic Japan Goodwee China LFP Lithium-ion,30kW Hybrid | 30 solar panel- Panasonic Japan | 3 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 7320000
3601-4800,40kW,Hybrid,Panasonic Japan,Goodwee China,LFP Lithium-ion,4,930000,4,40,3601-4800 Hybrid Panasonic Japan Goodwee China LFP Lithium-ion,40kW Hybrid | 40 solar panel- Panasonic Japan | 4 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 9760000
4801-6000,50kW,Hybrid,Panasonic Japan,Goodwee China,LFP Lithium-ion,5,930000,5,50,4801-6000 Hybrid Panasonic Japan Goodwee China LFP Lithium-ion,50kW Hybrid | 50 solar panel- Panasonic Japan | 5 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 12200000
6001-7200,60kW,Hybrid,Panasonic Japan,Goodwee China,LFP Lithium-ion,6,930000,6,60,6001-7200 Hybrid Panasonic Japan Goodwee China LFP Lithium-ion,60kW Hybrid | 60 solar panel- Panasonic Japan | 6 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 14640000
0-120,1kW,Hybrid,Panasonic Japan,SMA Germany ,LFP Lithium-ion,1,141000,1,1,0-120 Hybrid Panasonic Japan SMA Germany  LFP Lithium-ion,1kW Hybrid | 1 solar panel- Panasonic Japan | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 283000
121-240,2kW,Hybrid,Panasonic Japan,SMA Germany ,LFP Lithium-ion,1,210000,1,2,121-240 Hybrid Panasonic Japan SMA Germany  LFP Lithium-ion,2kW Hybrid | 2 solar panel- Panasonic Japan | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 504000
241-420,3.5kW,Hybrid,Panasonic Japan,SMA Germany ,LFP Lithium-ion,1,390000,1,4,241-420 Hybrid Panasonic Japan SMA Germany  LFP Lithium-ion,3.5kW Hybrid | 4 solar panel- Panasonic Japan | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 888000
421-480,4kW,Hybrid,Panasonic Japan,SMA Germany ,LFP Lithium-ion,1,555000,1,4,421-480 Hybrid Panasonic Japan SMA Germany  LFP Lithium-ion,4kW Hybrid | 4 solar panel- Panasonic Japan | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 1213000
481-600,5kW,Hybrid,Panasonic Japan,SMA Germany ,LFP Lithium-ion,1,735000,1,5,481-600 Hybrid Panasonic Japan SMA Germany  LFP Lithium-ion,5kW Hybrid | 5 solar panel- Panasonic Japan | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 1455000
601-900,7.5kW,Hybrid,Panasonic Japan,SMA Germany ,LFP Lithium-ion,1,870000,1,7,601-900 Hybrid Panasonic Japan SMA Germany  LFP Lithium-ion,7.5kW Hybrid | 7 solar panel- Panasonic Japan | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 2194000
901-960,8kW,Hybrid,Panasonic Japan,SMA Germany ,LFP Lithium-ion,1,975000,1,8,901-960 Hybrid Panasonic Japan SMA Germany  LFP Lithium-ion,8kW Hybrid | 8 solar panel- Panasonic Japan | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 2361000
961-1200,10kW,Hybrid,Panasonic Japan,SMA Germany ,LFP Lithium-ion,1,1170000,1,10,961-1200 Hybrid Panasonic Japan SMA Germany  LFP Lithium-ion,10kW Hybrid | 10 solar panel- Panasonic Japan | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 2680000
1201-1800,15kW,Hybrid,Panasonic Japan,SMA Germany ,LFP Lithium-ion,2,870000,2,15,1201-1800 Hybrid Panasonic Japan SMA Germany  LFP Lithium-ion,15kW Hybrid | 15 solar panel- Panasonic Japan | 2 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 4450000
1801-2400,20kW,Hybrid,Panasonic Japan,SMA Germany ,LFP Lithium-ion,2,1170000,2,20,1801-2400 Hybrid Panasonic Japan SMA Germany  LFP Lithium-ion,20kW Hybrid | 20 solar panel- Panasonic Japan | 2 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 5360000
2401-3600,30kW,Hybrid,Panasonic Japan,SMA Germany ,LFP Lithium-ion,3,1170000,3,30,2401-3600 Hybrid Panasonic Japan SMA Germany  LFP Lithium-ion,30kW Hybrid | 30 solar panel- Panasonic Japan | 3 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 8040000
3601-4800,40kW,Hybrid,Panasonic Japan,SMA Germany ,LFP Lithium-ion,4,1170000,4,40,3601-4800 Hybrid Panasonic Japan SMA Germany  LFP Lithium-ion,40kW Hybrid | 40 solar panel- Panasonic Japan | 4 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 10720000
4801-6000,50kW,Hybrid,Panasonic Japan,SMA Germany ,LFP Lithium-ion,5,1170000,5,50,4801-6000 Hybrid Panasonic Japan SMA Germany  LFP Lithium-ion,50kW Hybrid | 50 solar panel- Panasonic Japan | 5 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 13400000
6001-7200,60kW,Hybrid,Panasonic Japan,SMA Germany ,LFP Lithium-ion,6,1170000,6,60,6001-7200 Hybrid Panasonic Japan SMA Germany  LFP Lithium-ion,60kW Hybrid | 60 solar panel- Panasonic Japan | 6 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 16080000
0-120,1kW,Hybrid,Panasonic Japan,CanadainSolar Canada,LFP Lithium-ion,1,136500,1,1,0-120 Hybrid Panasonic Japan CanadainSolar Canada LFP Lithium-ion,1kW Hybrid | 1 solar panel- Panasonic Japan | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 278500
121-240,2kW,Hybrid,Panasonic Japan,CanadainSolar Canada,LFP Lithium-ion,1,195000,1,2,121-240 Hybrid Panasonic Japan CanadainSolar Canada LFP Lithium-ion,2kW Hybrid | 2 solar panel- Panasonic Japan | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 489000
241-420,3.5kW,Hybrid,Panasonic Japan,CanadainSolar Canada,LFP Lithium-ion,1,330000,1,4,241-420 Hybrid Panasonic Japan CanadainSolar Canada LFP Lithium-ion,3.5kW Hybrid | 4 solar panel- Panasonic Japan | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 828000
421-480,4kW,Hybrid,Panasonic Japan,CanadainSolar Canada,LFP Lithium-ion,1,465000,1,4,421-480 Hybrid Panasonic Japan CanadainSolar Canada LFP Lithium-ion,4kW Hybrid | 4 solar panel- Panasonic Japan | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 1123000
481-600,5kW,Hybrid,Panasonic Japan,CanadainSolar Canada,LFP Lithium-ion,1,615000,1,5,481-600 Hybrid Panasonic Japan CanadainSolar Canada LFP Lithium-ion,5kW Hybrid | 5 solar panel- Panasonic Japan | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 1335000
601-900,7.5kW,Hybrid,Panasonic Japan,CanadainSolar Canada,LFP Lithium-ion,1,810000,1,7,601-900 Hybrid Panasonic Japan CanadainSolar Canada LFP Lithium-ion,7.5kW Hybrid | 7 solar panel- Panasonic Japan | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 2134000
901-960,8kW,Hybrid,Panasonic Japan,CanadainSolar Canada,LFP Lithium-ion,1,960000,1,8,901-960 Hybrid Panasonic Japan CanadainSolar Canada LFP Lithium-ion,8kW Hybrid | 8 solar panel- Panasonic Japan | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 2346000
961-1200,10kW,Hybrid,Panasonic Japan,CanadainSolar Canada,LFP Lithium-ion,1,1140000,1,10,961-1200 Hybrid Panasonic Japan CanadainSolar Canada LFP Lithium-ion,10kW Hybrid | 10 solar panel- Panasonic Japan | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 2650000
1201-1800,15kW,Hybrid,Panasonic Japan,CanadainSolar Canada,LFP Lithium-ion,2,810000,2,15,1201-1800 Hybrid Panasonic Japan CanadainSolar Canada LFP Lithium-ion,15kW Hybrid | 15 solar panel- Panasonic Japan | 2 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 4330000
1801-2400,20kW,Hybrid,Panasonic Japan,CanadainSolar Canada,LFP Lithium-ion,2,1140000,2,20,1801-2400 Hybrid Panasonic Japan CanadainSolar Canada LFP Lithium-ion,20kW Hybrid | 20 solar panel- Panasonic Japan | 2 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 5300000
